exercise_type,config_id,timing_mode,n,wall_seconds_median,wall_seconds_min,wall_seconds_max,tokens_median,queued_median_seconds,analyzing_median_seconds,planning_median_seconds,provisioning_median_seconds,transforming_median_seconds,verifying_median_seconds,repairing_median_seconds,finalizing_median_seconds,model_bound_median_seconds,build_bound_median_seconds
programming,C1,concurrent,6,542.242833,253.346606,752.9364,50607.0,0.004750000000000001,0.0115,39.039500000000004,0.478,158.745,142.7825,196.7375,0.1215495,194.377,316.479
programming,C10,concurrent,6,502.512015,429.823429,654.245008,61933.5,0.004432,0.01,43.328,0.4865,249.61950000000002,129.052,69.578,0.162654,289.275,186.832
programming,C11,concurrent,6,438.14272400000004,384.227642,660.723512,55221.5,0.004393,0.01,49.257999999999996,0.478,252.7015,114.712,45.704,0.171954,302.91499999999996,162.96699999999998
programming,C12,concurrent,6,374.232147,300.224999,475.87174,42633.5,0.0052065,0.0135,44.5175,0.493,243.213,69.252,39.6595,0.1486795,288.78,69.252
programming,C13,concurrent,6,455.119632,260.855056,939.328248,60761.0,0.0051730000000000005,0.0115,49.071,0.4715,245.546,87.9105,74.771,0.15376050000000002,300.786,138.7305
programming,C14,concurrent,6,802.918868,424.836766,1057.604362,109871.0,0.0039695,0.010499999999999999,55.585,0.501,249.1125,286.09450000000004,205.46300000000002,0.171757,310.506,478.3475
programming,C2,concurrent,6,857.4646694999999,417.4717,1117.646953,85979.5,0.005504,0.0115,37.7775,0.523,177.2975,239.5915,364.08500000000004,7.691489,214.65949999999998,634.9855
programming,C3,concurrent,6,388.128559,261.727913,834.790663,45301.0,0.0053345,0.012,49.923500000000004,0.497,232.301,92.4735,17.596,0.16379749999999998,282.978,99.1185
programming,C4,concurrent,6,497.6855005,370.502454,556.5529,63602.0,0.0046625,0.010499999999999999,44.6475,0.4735,281.258,105.0025,51.618,0.1585535,322.11,154.954
programming,C5,concurrent,6,229.2117935,112.590232,419.299547,43031.0,0.005622500000000001,0.012,58.581,0.496,26.7185,98.3715,41.785,0.1423915,90.11949999999999,137.3635
programming,C6,concurrent,6,110.86439150000001,74.813665,372.122838,30354.0,0.004408499999999999,0.013000000000000001,33.72,0.45,34.0365,31.789499999999997,88.2715,0.1681655,78.4865,31.789499999999997
programming,C7,concurrent,6,333.9326305,121.647959,393.304571,40744.5,0.005124999999999999,0.0155,47.900999999999996,0.5025,100.116,74.271,112.823,0.1196355,139.03549999999998,178.202
programming,C8,concurrent,6,300.2284085,265.0908,384.35409,48470.0,0.0049065,0.0115,47.8155,0.4555,96.999,76.013,100.2595,0.1720315,144.1525,171.6445
programming,C9,concurrent,6,408.0002065,364.703546,709.977654,54154.5,0.0046625,0.01,42.92,0.483,266.6255,81.52499999999999,50.606,0.15160200000000001,314.145,89.8395
quiz,C1,concurrent,6,244.44611250000003,108.960062,928.951291,57524.0,0.0048915,0.0175,16.786,0.42100000000000004,63.914,90.049,57.486999999999995,0.08813599999999999,82.30199999999999,131.538
quiz,C10,concurrent,6,175.1876115,135.72958,354.962372,40502.5,0.004223,0.0155,16.426499999999997,0.4545,115.017,40.7785,19.383,0.068979,128.19150000000002,50.004000000000005
quiz,C11,concurrent,6,238.9351255,137.031162,787.667144,59324.5,0.0047785,0.0175,16.776,0.41000000000000003,113.68,67.34049999999999,77.03800000000001,0.0614535,132.636,118.905
quiz,C12,concurrent,6,194.69500399999998,142.503285,358.349881,48777.0,0.005015,0.018,15.4985,0.41600000000000004,114.3005,49.1025,30.3205,0.066838,131.825,71.789
quiz,C13,concurrent,6,181.1385425,122.679074,326.527404,40952.0,0.0044055,0.018500000000000003,14.6045,0.41100000000000003,105.3805,42.628,32.199,0.060441,118.31700000000001,55.94799999999999
quiz,C14,concurrent,6,247.086621,170.331174,334.901177,53074.0,0.0044075,0.0165,21.618000000000002,0.45499999999999996,107.529,72.368,45.8755,0.070003,131.046,107.722
quiz,C2,concurrent,6,378.721684,129.561182,962.82712,104069.5,0.004341,0.0175,17.6035,0.4485,67.4545,164.1065,139.908,0.064771,91.14600000000002,295.9275
quiz,C3,concurrent,6,187.245342,145.819333,317.365439,33848.5,0.0037155,0.0185,13.8125,0.403,120.344,31.1155,63.4045,0.072978,134.15449999999998,31.1155
quiz,C4,concurrent,6,238.2278445,143.807316,570.449795,54616.0,0.005482,0.017,15.191500000000001,0.496,119.895,57.8915,38.555,0.085444,135.29749999999999,89.1955
quiz,C5,concurrent,6,47.950422,40.988258,106.762966,31082.0,0.005154000000000001,0.018000000000000002,16.194,0.46199999999999997,5.508,25.6005,46.364,0.07264699999999999,21.734499999999997,25.6005
quiz,C6,concurrent,6,149.6858395,129.611267,219.568294,34919.0,0.004483,0.017,17.212,0.41600000000000004,90.8295,30.3035,40.522999999999996,0.0728565,106.1165,30.3035
quiz,C7,concurrent,6,181.9616255,143.660485,603.233895,40824.0,0.004059,0.016,14.2425,0.4105,112.08449999999999,42.332499999999996,101.505,0.0551025,127.077,52.0525
quiz,C8,concurrent,6,146.33743950000002,141.358182,271.409213,31097.0,0.006716,0.014499999999999999,14.1055,0.47450000000000003,104.531,26.47,49.871,0.0724995,120.965,26.47
quiz,C9,concurrent,6,354.7057285,140.370205,588.019464,82781.5,0.0047645,0.0175,16.657,0.479,106.395,81.048,191.185,0.061102500000000004,123.62199999999999,221.3095
