exercise_type,config_id,n,outcome_completed,outcome_draft_with_warnings,outcome_failed,outcome_timeout,outcome_cancelled,outcome_lost,completion_rate,completion_ci_low,completion_ci_high,first_attempt_passes,median_attempts_used,semantic_gate_ran,quarantined_environment_failures
programming,C1,6,6,0,0,0,0,0,1.0,0.61,1.0,0,2.0,6,0
programming,C10,6,6,0,0,0,0,0,1.0,0.61,1.0,0,2.0,6,0
programming,C11,6,6,0,0,0,0,0,1.0,0.61,1.0,1,2.0,6,0
programming,C12,6,6,0,0,0,0,0,1.0,0.61,1.0,4,1.0,6,0
programming,C13,6,6,0,0,0,0,0,1.0,0.61,1.0,2,2.0,6,0
programming,C14,6,5,1,0,0,0,0,0.833,0.436,0.97,0,4.5,6,0
programming,C2,6,2,4,0,0,0,0,0.333,0.097,0.7,0,5.0,6,0
programming,C3,6,6,0,0,0,0,0,1.0,0.61,1.0,3,1.5,6,0
programming,C4,6,6,0,0,0,0,0,1.0,0.61,1.0,1,2.0,6,0
programming,C5,6,6,0,0,0,0,0,1.0,0.61,1.0,1,2.0,6,0
programming,C6,6,6,0,0,0,0,0,1.0,0.61,1.0,4,1.0,6,0
programming,C7,6,6,0,0,0,0,0,1.0,0.61,1.0,1,2.0,6,0
programming,C8,6,6,0,0,0,0,0,1.0,0.61,1.0,0,2.0,6,0
programming,C9,6,6,0,0,0,0,0,1.0,0.61,1.0,3,1.5,6,0
quiz,C1,6,5,1,0,0,0,0,0.833,0.436,0.97,2,2.5,6,0
quiz,C10,6,6,0,0,0,0,0,1.0,0.61,1.0,3,1.5,6,0
quiz,C11,6,6,0,0,0,0,0,1.0,0.61,1.0,1,2.5,6,0
quiz,C12,6,6,0,0,0,0,0,1.0,0.61,1.0,2,2.0,6,0
quiz,C13,6,6,0,0,0,0,0,1.0,0.61,1.0,3,1.5,6,0
quiz,C14,6,6,0,0,0,0,0,1.0,0.61,1.0,2,2.0,6,0
quiz,C2,6,5,1,0,0,0,0,0.833,0.436,0.97,1,5.0,6,0
quiz,C3,6,6,0,0,0,0,0,1.0,0.61,1.0,4,1.0,6,0
quiz,C4,6,5,1,0,0,0,0,0.833,0.436,0.97,1,2.0,6,0
quiz,C5,6,6,0,0,0,0,0,1.0,0.61,1.0,5,1.0,6,0
quiz,C6,6,6,0,0,0,0,0,1.0,0.61,1.0,4,1.0,6,0
quiz,C7,6,6,0,0,0,0,0,1.0,0.61,1.0,3,1.5,6,0
quiz,C8,6,6,0,0,0,0,0,1.0,0.61,1.0,5,1.0,6,0
quiz,C9,6,6,0,0,0,0,0,1.0,0.61,1.0,1,3.0,6,0
